gn,title,artist,src,bpm,fileId
sdom1044,我要愛的好,黑澀會美眉,songname,180.0,11044
sdom1043,幸福的泡泡,黑澀會美眉,songname,124.0,11043
sdom1042,范范之輩,范瑋琪,songname,150.18,11042
sdom1041,黑暗面,范瑋琪,songname,124.0,11041
sdom1040,哲學家,范瑋琪,songname,173.45,11040
sdom1039,仨人,郭靜&張韶涵&范瑋琪,songname,150.0,11039
sdom1038,俄羅斯戀人,証聲,songname,120.0,11038
sdom1036,鬥琴,証聲,songname,99.0,11036
sdom1035,女神變奏曲,証聲,songname,128.0,11035
sdom1034,小貓咪圓舞曲,証聲,songname,131.0,11034
sdom1033,搗蛋天使,証聲,songname,190.0,11033
sdom1032,蛻變,証聲,songname,100.0,11032
sdom1031,漫步在雲端,証聲,songname,137.5,11031
sdom1017,玩酷,潘瑋柏,songname,115.0,11017
sdom0997,Everything Back But You,Avril Lavigne,kgn,130.0,10997
sdom0987,窮開心,花兒樂團,songname,150.0,10987
sdom0982,日不落,蔡依林,songname,128.0,10982
sdom0975,危險天使,陳崴,songname,108.0,10975
sdom0974,Waiting for me,李玟,songname,90.0,10974
sdom0973,完美比例,楊丞琳,songname,98.03,10973
sdom0972,第二個自己,楊丞琳,songname,97.5,10972
sdom0971,缺氧,楊丞琳,songname,88.0,10971
sdom0970,任意門,楊丞琳,songname,148.0,10970
sdom0969,愛的鼓動,王力宏,songname,112.0,10969
sdom0968,你是我心內的一首歌,王力宏,songname,91.0,10968
sdom0967,我們的歌,王力宏,songname,140.0,10967
sdom0966,迦南美地,劉耕宏,songname,139.99,10966
sdom0965,甜蜜柏拉圖,劉耕宏,songname,130.0,10965
sdom0964,江南,林俊傑,songname,120.0,10964
sdom0963,小手拉大手,梁靜茹,songname,130.06,10963
sdom0962,雪絨花,金莎,songname,90.0,10962
sdom0961,亞森羅蘋,金莎,songname,118.0,10961
sdom0960,簡簡單單,林俊傑,songname,142.05,10960
sdom0959,豆漿油條,林俊傑,songname,88.0,10959
sdom0958,就是愛,蔡依林,songname,93.0,10958
sdom0957,說愛你,蔡依林,songname,102.0,10957
sdom0956,愛情36計,蔡依林,songname,122.0,10956
sdom0945,進化論,林俊傑,songname,100.0,10945
sdom0944,WU LA LA,金莎,songname,143.01,10944
sdom0943,Came Alone,証聲,songname,130.02,10943
sdom0942,Droid Mix,証聲,songname,104.0,10942
sdom0941,Destroyer Model,証聲,songname,139.0,10941
sdom0940,Ocean Dream 3,証聲,songname,140.08,10940
sdom0939,KEYWORDS,証聲,songname,125.0,10939
sdom0938,Without you,証聲,songname,138.0,10938
sdom0937,In Belize,証聲,songname,140.01,10937
sdom0936,Snowman,証聲,songname,142.0,10936
sdom0935,Dance Prince,証聲,songname,158.0,10935
sdom0934,Stars Above,証聲,songname,144.0,10934
sdom0933,Das Happy tune,証聲,songname,138.0,10933
sdom0932,Eurospeed,証聲,songname,148.0,10932
sdom0931,DJ KID,証聲,songname,135.0,10931
sdom0930,Happy DJ,証聲,songname,140.0,10930
sdom0929,Move your body,証聲,songname,130.0,10929
sdom0928,Look for love,証聲,songname,135.01,10928
sdom0927,Round House,証聲,songname,143.0,10927
sdom0926,Generic,証聲,songname,138.0,10926
sdom0925,愛在哪裡,王力宏,songname,102.0,10925
sdom0924,不完整的旋律,王力宏,songname,70.0,10924
sdom0923,Cockney Girl,王力宏,songname,88.0,10923
sdom0922,落葉歸根,王力宏,songname,125.0,10922
sdom0920,Never Let You Go,吳建豪,songname,84.0,10920
sdom0919,幻想這愛,吳建豪,songname,127.0,10919
sdom0918,零時差,吳建豪,songname,105.01,10918
sdom0917,Friday Night,吳建豪,songname,90.0,10917
sdom0916,Just One Dance,吳建豪,songname,100.0,10916
sdom0915,我的王國,吳建豪,songname,113.0,10915
sdom0914,I Miss You,柯有綸,songname,160.01,10914
sdom0913,welcome to my world,柯有綸,songname,105.1,10913
sdom0912,黃皮膚,柯有綸,songname,86.85,10912
sdom0911,天使戰將,劉耕宏,songname,146.0,10911
sdom0910,碎碎念,劉耕宏,songname,90.0,10910
sdom0909,壞朋友,劉耕宏,songname,100.0,10909
sdom0908,編號89757,林俊傑,songname,164.0,10908
sdom0907,第二天堂,林俊傑,songname,83.01,10907
sdom0906,無人島,李玟,songname,114.0,10906
sdom0897,Runaway,Avril Lavigne,kgn,135.0,10897
sdom0896,離開地球表面,五月天,songname,138.0,10896
sdom0894,改變自己,王力宏,songname,104.5,10894
sdom0837,Watch the trap！Yes Sir,5566,kgn,95.04,10837
sdom0836,看著我,易吉綱,songname,122.0,10836
sdom0835,將你遺忘,易吉綱,songname,115.2,10835
sdom0834,迷迭香,周杰倫,songname,118.0,10834
sdom0833,千里之外,周杰倫,songname,118.0,10833
sdom0832,一路向北,周杰倫,songname,134.0,10832
sdom0831,飄移,周杰倫,songname,93.0,10831
sdom0830,珊瑚海,周杰倫,songname,145.98,10830
sdom0829,浪漫手機,周杰倫,songname,85.0,10829
sdom0828,四面楚歌,周杰倫,songname,95.01,10828
sdom0827,七里香,周杰倫,songname,142.02,10827
sdom0826,東風破,周杰倫,songname,146.01,10826
sdom0825,三年二班,周杰倫,songname,89.91,10825
sdom0824,爺爺泡的茶,周杰倫,songname,85.0,10824
sdom0823,雙節棍,周杰倫,songname,101.0,10823
sdom0822,威廉古堡,周杰倫,songname,140.0,10822
sdom0821,爸我回來了,周杰倫,songname,152.0,10821
sdom0820,愛在西元前,周杰倫,songname,126.8,10820
sdom0819,鬥牛,周杰倫,songname,129.96,10819
sdom0736,人來瘋,溫嵐,songname,102.0,10736
sdom0735,一代公主,施文彬,songname,124.93,10735
sdom0734,你老母卡好,康晉榮,songname,118.0,10734
sdom0733,快樂鳥日子,康晉榮,songname,130.0,10733
sdom0732,恁姐仔住市內,康晉榮,songname,112.92,10732
sdom0731,1234,強辯,songname,123.5,10731
sdom0730,脫掉,杜德偉,songname,132.04,10730
sdom0729,裙擺搖搖,李心潔,songname,128.0,10729
sdom0728,自由,李心潔,songname,149.62,10728
sdom0727,老子說,吳克群,songname,148.0,10727
sdom0726,天使,五月天,songname,146.0,10726
sdom0725,最重要的小事,五月天,songname,80.0,10725
sdom0724,為愛而生,五月天,songname,164.0,10724
sdom0723,寵上天,五月天,songname,98.0,10723
sdom0722,瘋狂世界,五月天,songname,145.23,10722
sdom0721,軋車,五月天,songname,174.26,10721
sdom0720,我又初戀了,五月天,songname,149.0,10720
sdom0719,快樂很偉大,五月天,songname,150.0,10719
sdom0718,Shabu Shabu,2moro,kgn,130.04,10718
sdom0717,我愛台妹,MC HotDog,songname,107.0,10717
sdom0703,My Kingdom,吳建豪,songname,113.0,10703
sdom0695,暴風Remix,久游,songname,142.0,10695
sdom0665,完美的互動,王力宏&Rain,songname,95.0,10665
sdom0664,要定你,李玟,songname,125.0,10664
sdom0663,招牌動作,蔡依林,songname,135.0,10663
sdom0662,看我72變,蔡依林,songname,130.0,10662
sdom0661,被風吹過的夏天,林俊傑&金莎,songname,124.0,10661
sdom0660,親親,梁靜茹,songname,139.93,10660
sdom0659,戀愛達人,羅志祥&小S,songname,98.0,10659
sdom0658,垃圾桶,羅志祥,songname,95.0,10658
