gn,fileId,ok,size,mean_db,note,src_sdm
sdom0581,10581,1,1551528,-13.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0581.sdm
sdom0582,10582,1,1265806,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0582.sdm
sdom0583,10583,1,1244962,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0583.sdm
sdom0584,10584,1,1277576,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0584.sdm
sdom0585,10585,1,1173347,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0585.sdm
sdom0586,10586,1,1022323,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0586.sdm
sdom0587,10587,1,1620062,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0587.sdm
sdom0588,10588,1,1724947,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0588.sdm
sdom0589,10589,1,1199312,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0589.sdm
sdom0590,10590,1,1297431,-17.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0590.sdm
sdom0592,10592,1,988530,-11.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0592.sdm
sdom0591,10591,1,1476534,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0591.sdm
sdom0593,10593,1,1374680,-12.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0593.sdm
sdom0594,10594,1,1536110,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0594.sdm
sdom0595,10595,1,1665915,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0595.sdm
sdom0596,10596,1,1437377,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0596.sdm
sdom0985,10985,1,1714561,-15.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom0985.sdm
sdom1114,11114,1,2772223,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1114.sdm
sdom1112,11112,1,3313421,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1112.sdm
sdom1170,11170,1,1501456,-10.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1170.sdm
sdom1171,11171,1,1755744,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1171.sdm
sdom1172,11172,1,2270041,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1172.sdm
sdom1111,11111,1,7645107,-9.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1111.sdm
sdom1174,11174,1,2527875,-8.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1174.sdm
sdom1115,11115,1,9125704,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1115.sdm
sdom1175,11175,1,2061362,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1175.sdm
sdom1176,11176,1,1546839,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1176.sdm
sdom1177,11177,1,1948976,-10.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1177.sdm
sdom1178,11178,1,1311280,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1178.sdm
sdom1179,11179,1,1662841,-14.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1179.sdm
sdom1184,11184,1,1672511,-12.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1184.sdm
sdom1180,11180,1,2124182,-12.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1180.sdm
sdom1185,11185,1,1952733,-10.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1185.sdm
sdom1187,11187,1,1998273,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1187.sdm
sdom1186,11186,1,2498315,-13.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1186.sdm
sdom1189,11189,1,1926436,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1189.sdm
sdom1190,11190,1,1782192,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1190.sdm
sdom1192,11192,1,2451639,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1192.sdm
sdom1193,11193,1,2109938,-10.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1193.sdm
sdom1195,11195,1,2288252,-12.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1195.sdm
sdom1196,11196,1,1957859,-13.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1196.sdm
sdom1227,11227,1,2072373,-8.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1227.sdm
sdom1198,11198,1,2101528,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1198.sdm
sdom1282,11282,1,1860840,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1282.sdm
sdom1281,11281,1,3852400,-8.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1281.sdm
sdom1284,11284,1,2067098,-11.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1284.sdm
sdom1286,11286,1,2596010,-8.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1286.sdm
sdom1287,11287,1,1909972,-14.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1287.sdm
sdom1288,11288,1,1853048,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1288.sdm
sdom1289,11289,1,2500381,-11.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1289.sdm
sdom1290,11290,1,2247956,-12.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1290.sdm
sdom1291,11291,1,1698140,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1291.sdm
sdom1292,11292,1,1986096,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1292.sdm
sdom1294,11294,1,1780692,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1294.sdm
sdom1297,11297,1,1939681,-11.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1297.sdm
sdom1295,11295,1,1966689,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1295.sdm
sdom1300,11300,1,1892298,-9.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1300.sdm
sdom1302,11302,1,1702269,-10.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1302.sdm
sdom1301,11301,1,1982131,-9.6,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1301.sdm
sdom1303,11303,1,2328561,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1303.sdm
sdom1304,11304,1,2044132,-9.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1304.sdm
sdom1307,11307,1,2005084,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1307.sdm
sdom1308,11308,1,1969660,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1308.sdm
sdom1310,11310,1,2287932,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1310.sdm
sdom1346,11346,1,2183127,-9.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1346.sdm
sdom1348,11348,1,1357128,-11.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1348.sdm
sdom1347,11347,1,1501099,-12.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1347.sdm
sdom1349,11349,1,1486020,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1349.sdm
sdom1350,11350,1,1894660,-12.9,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1350.sdm
sdom1351,11351,1,1591838,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1351.sdm
sdom1356,11356,1,1599038,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1356.sdm
sdom1359,11359,1,1489431,-12.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1359.sdm
sdom1360,11360,1,2455016,-11.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1360.sdm
sdom1362,11362,1,1866314,-10.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1362.sdm
sdom1364,11364,1,2149720,-9.4,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1364.sdm
sdom1365,11365,1,2665319,-9.0,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1365.sdm
sdom1412,11412,1,1689945,-11.2,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1412.sdm
sdom1409,11409,1,2421126,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1409.sdm
sdom1411,11411,1,2015962,-9.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1411.sdm
sdom1413,11413,1,1928840,-10.5,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1413.sdm
sdom1414,11414,1,2562129,-9.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1414.sdm
sdom1416,11416,1,1707054,-10.3,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1416.sdm
sdom1418,11418,1,1999016,-10.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1418.sdm
sdom1419,11419,1,2234974,-11.7,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1419.sdm
sdom1421,11421,1,1557463,-11.1,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1421.sdm
sdom1420,11420,1,2567095,-8.8,,D:\program\SDO-X\SDO-X Alchemist World\music\sdom1420.sdm
