gn,title,artist,src,bpm,fileId
sdom1625,Just Dance,Lady GaGa,kgn,119,11625
sdom1626,第二晚,M.H.IS,kgn,120,11626
sdom1627,Why I like you,Super Junior,kgn,126,11627
sdom1632,"SORRY, SORRY",Super Junior,kgn,130,11632
sdom1685,Fire,2NE1,kgn,126,11685
sdom1686,Diva,After School,kgn,130,11686
sdom1688,傻瓜一樣,JunJin,kgn,125,11688
sdom1689,魅力人生,Miss Joo,kgn,110,11689
sdom1693,就是你,SuperJunior,kgn,120,11693
sdom1698,Go Go,高耀太,kgn,146,11698
sdom1699,Nonsense,高耀太,kgn,132,11699
sdom1700,更愛你,高耀太,kgn,130,11700
sdom1703,記憶與回憶,金泰宇,kgn,120,11703
sdom1704,夏娃的警告,高耀太,kgn,140,11704
sdom1705,真的嗎,高耀太,kgn,128,11705
sdom1706,I Like Choco,金正恩,kgn,120,11706
sdom1708,Vogue Girl,李貞賢,kgn,122,11708
sdom1709,你是我的,李貞賢,kgn,123.99,11709
sdom1731,連哭都是我的錯,東來東往,kgn,132,11731
sdom1737,So What,粉紅佳人,kgn,126,11737
sdom1738,Suga Luv,Bizniz,kgn,125,11738
sdom1739,說出願望吧,少女時代,kgn,123,11739
sdom1740,Etude,少女時代,kgn,128,11740
sdom1741,加減公式,Flying Girls,kgn,122,11741
sdom1742,白馬王子,Kara,kgn,126,11742
sdom1743,星光閃耀的夜晚,OneTwo,kgn,128,11743
sdom1746,stand by me,shinee,kgn,111,11746
sdom1772,Keep You Much Longer,Akon,kgn,120,11772
sdom1773,troublemaker,Akon,kgn,122,11773
sdom1775,So Beautiful,Bigbang,kgn,115,11775
sdom1779,Glam Girl,Brown Eyed Girls,kgn,126,11779
sdom1783,加減公式,Flying Girls,kgn,122,11783
sdom1784,奢望,FT Island,kgn,140,11784
sdom1792,hot stuff,davichi,kgn,130,11792
sdom1793,The show,Lenka,kgn,123,11793
sdom1794,I love you,拜託小姐,kgn,112,11794
sdom1795,搖擺,蔡妍,kgn,130,11795
sdom1797,Jingle Jingle Bells,Bless,kgn,120,11797
sdom1799,你很美,Run,kgn,115,11799
sdom1800,強烈的你,Run,kgn,125,11800
sdom1801,Sweet Christmas,李賢智,kgn,131,11801
sdom1817,Dreams Come True,4minute,kgn,165,11817
sdom1820,Crazy,Beast,kgn,140,11820
sdom1827,Bo Peep Bo Peep,Tiara,kgn,128,11827
sdom1828,你的愛,Tiara,kgn,102,11828
sdom1830,Happy Loving,王心凌,kgn,125,11830
sdom1833,BingBingBing,F.T.Island,kgn,190,11833
sdom1834,Love Attack,IU,kgn,131,11834
sdom1835,Not Your Girl,Rainbow,kgn,127,11835
sdom1836,Apple Is A,Tiara,kgn,136,11836
sdom1837,"Oh, Yes!",高耀太,kgn,128,11837
sdom1838,PRIDE OF GLORY,水樹奈奈,kgn,148,11838
sdom1839,甩蔥歌,初音未來,kgn,119,11839
sdom1841,kiss,2ne1,kgn,120,11841
sdom1843,Strong Baby,BigBang,kgn,118,11843
sdom1844,One Love,Super Junior 銀赫 KRY,kgn,97,11844
sdom1846,I'm So Sorry,我不管家族,kgn,127,11846
sdom1847,Crazy4s,2PM,kgn,132,11847
sdom1848,super girl,superjunior,kgn,125,11848
sdom1849,ttl time to love,T-ara & Supernova,kgn,105,11849
sdom1851,tell me,wonder girls,kgn,127,11851
sdom1852,Every Heart,寶兒,kgn,142,11852
sdom1853,I don't care,2NE1,kgn,132,11853
sdom1854,oh!,少女時代,kgn,144,11854
sdom1855,Wahrheit,妖精帝國,kgn,180,11855
sdom1856,泣いちゃうかも,早安少女組,kgn,120,11856
sdom1857,月下香,妖精帝國,kgn,160,11857
sdom1858,気まぐれプリンセス,早安少女組,kgn,134,11858
sdom1859,Poker Face,Lady GaGa,kgn,119,11859
sdom1860,Troublemaker,嵐,kgn,139,11860
sdom1861,經驗值upup,南家三姐妹,kgn,170,11861
sdom1862,Earthquake,Little Boots,kgn,124,11862
sdom1863,PRIDE,High And Mighty Color,kgn,180,11863
sdom1864,Back to the day,相川七瀨,kgn,163,11864
sdom1865,君がいない未来,大無限樂團,kgn,140,11865
sdom1866,擁抱我小姐,山下智久,kgn,144.83,11866
sdom1867,不懂ing,2AM,kgn,164,11867
sdom1871,第四十號交響,Donovanlee,kgn,126,11871
sdom1873,因為你笑了,原來我不帥,kgn,102,11873
sdom1887,billie_jean,michael_jackson,kgn,117.04,11887
sdom1888,beat_it,michael_jackson,kgn,138.83,11888
sdom1889,smooth_criminal,michael_jackson,kgn,118.22,11889
sdom1890,dangerous,michael_jackson,kgn,113,11890
sdom1891,MJ串燒,michael_jackson,kgn,117.04,11891
sdom1892,運命のルーレット廻して,ZARD,kgn,140,11892
sdom1894,DA DA BUL,Aurora,kgn,138,11894
sdom1895,Magic,Brown Eyed Girls,kgn,123,11895
sdom1896,首班車,superjunior t,kgn,130,11896
sdom1897,RIVER,AKB48,kgn,106.53,11897
sdom1898,テクノキャット,Becky,kgn,140,11898
sdom1899,Wacko,Belinda peregrín schull,kgn,135,11899
sdom1900,Paradise,Da Buzz,kgn,99.5,11900
sdom1901,one more time,i13,kgn,130,11901
sdom1902,Dream Again,move,kgn,141,11902
sdom1903,Supermassive Black hole,Muse,kgn,120.29,11903
sdom1904,Run,Epik High,kgn,160,11904
sdom1905,SHERO,S.H.E,kgn,107,11905
sdom1906,Juliette,SHINee,kgn,109,11906
sdom1907,Happy Cooking,super junior,kgn,140,11907
sdom1908,Good Bye,Wonder Girls,kgn,120,11908
sdom1914,Stick Wit U,少女時代,kgn,158,11914
sdom1915,もっと君と,申彗星,kgn,120,11915
sdom1916,crazy woman,seeya davichi,kgn,76,11916
sdom1917,Chu,fx,kgn,125,11917
sdom1918,heymrbig,Jazzhiphop,kgn,142,11918
sdom1919,One More Time,Jewelry,kgn,132.06,11919
sdom1920,The Way You Do Me,JOJO,kgn,96.05,11920
sdom1921,Different Tears,Wonder Girls,kgn,124.01,11921
sdom1922,Run Devil Run,少女時代,kgn,129.98,11922
sdom1923,GEE,少女時代,kgn,200,11923
sdom1924,BANG!,After School,kgn,120,11924
sdom1925,好膽你就來,張惠妹,kgn,120,11925
sdom1926,心電心,王心凌,kgn,140,11926
sdom1927,羅生門,羅志祥,kgn,105,11927
sdom1928,雨愛,楊丞琳,kgn,80.08,11928
sdom1929,閃閃惹人愛,蕭亞軒,kgn,130,11929
sdom1930,Happy Loving,王心凌,kgn,125,11930
sdom1931,愛的主場秀,羅志祥,kgn,140,11931
sdom1932,不愛請閃開,蕭亞軒,kgn,123,11932
sdom1933,習慣就好,羅志祥,kgn,130.42,11933
sdom1934,WOW,萧亚軒,kgn,165,11934
sdom1935,ポニーテールとシュシュ,AKB48,kgn,160,11935
sdom1936,仆のYELL,AKB48,kgn,124,11936
sdom1937,愛情病,Dream Girls,kgn,126,11937
sdom1938,Because Of You,Gummy,kgn,141,11938
sdom1939,IU,守護,kgn,120,11939
sdom1940,Rumble Fish,Toxic,kgn,123,11940
sdom1941,Push Push,SISTAR,kgn,127,11941
sdom1942,Bad Apple,Minoshima,kgn,138,11942
sdom1943,Smile Boy,李勝基、金妍兒,kgn,144,11943
sdom1944,Cabi Song,少女時代、2PM,kgn,134,11944
sdom1945,Grab Bag,西野カナ,kgn,120,11945
sdom1946,給我你的手,弦子,kgn,115,11946
sdom1987,Supermario,勁樂,kgn,100,11987
sdom1988,夢的預見,Brandy,kgn,140,11988
sdom1989,溫馨一刻,Hiro,kgn,122,11989
sdom1990,V3,勁樂,kgn,160,11990
sdom1991,幽靈盛典,勁樂,kgn,136,11991
sdom1992,Vivaldi in HipHop,勁樂,kgn,110,11992
sdom1993,零次元,Nao Paradigm,kgn,147.04,11993
sdom1994,野蜂飛舞,勁樂,kgn,185,11994
sdom1995,Can't Nobody,2NE1,kgn,130,11995
sdom1996,BEAUTIFUL HANGOVER,BigBang,kgn,133,11996
sdom1997,The Catalyst,Linkin Park,kgn,135,11997
sdom1998,One Life,No Angels,kgn,125.5,11998
sdom1999,Green Light,Roll Depp,kgn,125,11999
sdom2000,愛的抱抱,郭書瑤,kgn,130,12000
sdom2001,我想我是瘋了,李勝基,kgn,123,12001
sdom2002,Blues,蕭敬騰,kgn,192,12002
sdom2003,Give a Little More,Maroon 5,kgn,118,12003
sdom2004,上帝派我來愛你,王錚亮,kgn,87,12004
sdom2005,Skater Boy 滑板少年,Avril Lavigne,kgn,150,12005
